	Brain_MD_7	Brain_MD_59	Brain_MD_20	Brain_MD_21	Brain_MD_50	Brain_MD_49	Brain_MD_45	Brain_MD_43	Brain_MD_8	Brain_MD_42	Brain_MD_1	Brain_MD_4	Brain_MD_55	Brain_MD_41	Brain_MD_37	Brain_MD_3	Brain_MD_34	Brain_MD_29	Brain_MD_13	Brain_MD_24	Brain_MD_65	Brain_MD_5	Brain_MD_66	Brain_MD_67	Brain_MD_58	Brain_MD_53	Brain_MD_56	Brain_MD_16	Brain_MD_40	Brain_MD_35	Brain_MD_30	Brain_MD_23	Brain_MD_28	Brain_MD_60
U39573_at	10	782	10	10	71	245	169	356	337	10	115	415	231	241	10	120	238	615	222	469	535	10	10	10	10	26	18	61	10	10	232	22	324	300
U40223_at	75	193	270	135	217	10	186	79	10	17	90	415	10	10	73	131	10	421	127	236	283	160	268	143	89	152	17	37	183	10	251	142	334	153
U40370_at	10	315	40	348	10	10	10	70	10	10	15	91	152	102	135	10	41	27	10	92	96	10	195	133	10	10	10	132	135	161	10	65	26	22
U40572_at	15	10	88	122	179	42	121	10	394	74	187	10	54	10	10	10	10	32	165	124	10	58	10	146	59	32	10	18	10	67	10	75	159	37
U42360_cds2_at	17	131	25	99	15	21	58	137	10	54	416	10	105	528	38	10	167	67	10	66	10	165	20	78	10	109	33	40	97	10	10	12	10	132
U42390_at	10	566	81	102	266	10	129	10	14	10	10	10	10	307	335	10	10	10	65	98	279	749	45	231	41	171	342	107	147	132	15	108	41	197
U43030_at	97	1698	157	271	464	10	352	355	131	102	179	10	49	265	10	102	31	214	315	24	185	779	828	117	10	174	373	41	173	95	161	406	10	482
U43318_at	87	1048	42	10	57	10	80	298	77	207	18	53	109	92	154	13	10	132	36	10	113	417	288	182	10	68	25	10	325	182	10	104	110	117
U43519_at	44	67	10	153	31	65	10	152	19	60	118	227	184	287	10	72	33	272	30	121	661	96	10	10	138	10	10	10	10	206	174	44	153	117
U43522_at	10	10	75	779	10	26	57	99	74	10	41	112	50	120	88	10	66	10	12	126	64	10	10	10	10	84	10	10	10	10	10	68	261	10
U43586_at	44	10	334	11	50	143	114	144	233	244	45	29	222	188	10	159	10	10	10	10	228	24	10	10	10	78	142	142	10	28	10	128	77	10
U43753_cds2_at	10	176	72	10	10	10	63	136	52	10	56	37	91	104	378	10	18	242	84	143	123	10	138	97	10	59	19	10	19	10	123	70	79	14
U45955_at	66	59	156	1892	49	58	73	10	38	85	70	125	40	24	10	44	494	10	10	106	290	1518	42	10	82	510	73	54	243	10	46	66	273	186
U46461_at	100	10	123	202	188	150	272	189	10	128	122	10	180	50	69	10	10	179	298	268	322	10	10	10	214	116	179	131	10	102	165	10	96	75
U46689_at	86	10	10	210	85	10	174	91	10	118	120	10	10	58	10	10	200	100	168	40	175	58	130	280	119	127	126	100	10	41	10	70	148	10
U47928_at	287	10	333	242	324	67	119	118	10	24	10	10	50	416	131	55	198	76	10	78	106	10	10	61	21	186	27	21	10	19	10	41	327	72
U48250_at	10	64	13	10	33	19	10	10	10	12	54	41	10	10	10	14	42	10	10	10	10	2339	118	10	10	87	10	13	83	30	10	10	10	98
U48707_at	10	32	231	162	114	24	122	357	100	112	109	31	12	504	10	10	22	107	21	77	437	41	10	10	27	17	10	10	10	21	10	10	300	10
U49260_at	23	10	330	10	10	10	71	114	10	10	50	89	126	10	339	10	80	10	199	232	155	10	10	10	118	323	10	25	10	10	121	10	95	10
U49278_at	38	320	124	345	10	113	10	252	199	10	273	48	92	98	308	62	167	37	34	120	108	138	80	266	200	96	151	76	109	10	10	10	67	10
U49857_at	47	1651	190	251	82	56	122	38	118	115	79	10	127	10	10	16	259	219	351	147	108	2447	10	10	224	55	10	35	10	76	11	68	131	10
U50315_at	10	10	10	71	67	10	118	10	10	51	35	10	37	10	100	10	29	307	10	10	192	376	120	315	17	97	140	211	236	43	34	10	10	251
U50330_at	10	196	10	122	117	300	10	192	448	123	10	79	224	10	10	93	10	10	135	171	10	58	45	65	218	10	65	65	10	117	10	50	10	140
U51240_at	10	10	63	113	10	60	14	158	178	10	207	134	10	66	10	158	235	118	10	10	70	49	10	29	10	41	167	10	47	89	90	360	278	10
U51586_at	10	86	63	90	10	10	191	75	10	89	307	10	373	10	10	597	191	10	194	46	10	304	10	110	232	164	135	229	39	10	10	10	10	207
U52100_at	36	144	150	131	37	75	39	10	137	140	114	10	149	36	10	519	178	158	220	134	10	1106	10	97	266	10	75	46	68	10	28	105	73	10
U52101_at	10	10	216	347	65	180	10	10	158	23	477	10	81	28	34	10	331	83	10	121	10	318	288	74	70	207	454	69	112	100	151	328	144	121
U52518_at	10	181	169	174	12	63	75	10	10	82	10	70	86	10	11	10	10	207	10	10	14	199	258	10	138	10	10	13	10	169	432	10	199	10
U52969_at	10	161	226	712	72	17	106	10	28	11	1253	10	10	96	96	10	40	305	10	82	10	10	10	10	35	107	10	10	10	10	10	10	494	10
U53225_at	55	57	214	162	10	84	120	91	205	69	145	67	10	10	30	102	107	188	103	34	72	10	25	10	103	91	42	10	27	10	10	180	10	23
U53445_at	26	10	31	76	38	171	57	10	247	29	73	160	52	14	10	105	40	10	10	10	10	19	253	10	10	238	173	39	110	32	10	110	152	256
U53476_at	10	1075	217	144	122	10	89	10	10	10	146	284	10	10	505	12	66	160	107	10	17	436	785	32	10	87	123	28	377	32	10	135	38	204
U55054_at	80	10	306	10	10	220	86	189	55	108	28	10	153	198	10	10	10	314	40	10	10	52	10	10	101	10	10	61	10	163	115	133	167	42
U55206_at	10	10	10	150	10	28	44	10	10	10	541	10	223	116	10	32	389	100	10	50	10	163	20	107	40	77	33	39	49	10	10	10	10	10
U55258_at	10	973	10	433	91	162	31	10	119	385	74	10	741	198	220	79	1521	20	10	574	44	127	251	361	173	160	284	161	222	71	196	218	13	211
U55764_at	65	10	112	65	81	35	106	17	10	46	73	10	232	82	10	215	48	104	203	46	145	19	10	10	10	47	81	61	10	10	10	183	153	64
U56418_at	162	89	225	353	252	10	424	10	10	10	433	10	344	10	173	61	326	254	699	203	132	221	42	13	212	174	220	58	10	10	109	148	252	18
U56816_at	58	10	276	125	443	243	373	265	565	168	173	159	389	10	10	620	254	254	295	10	10	1225	10	550	324	195	43	132	10	10	10	450	263	303
U57099_at	25	325	10	135	31	90	10	39	106	10	10	97	10	146	50	88	115	10	10	10	55	306	82	39	122	229	80	21	195	10	107	131	163	34
U57450_at	10	10	10	394	66	68	294	10	226	19	10	44	10	10	10	66	90	270	281	161	100	340	10	10	41	55	88	50	10	10	48	58	24	10
U57911_at	62	22	54	10	101	10	192	10	77	10	33	10	57	104	111	300	25	10	147	10	115	171	439	192	64	87	20	123	51	21	121	31	139	88
U58090_at	40	10	114	86	92	10	195	10	38	17	126	130	38	90	10	62	79	177	137	10	85	10	55	10	70	109	143	48	31	63	80	78	96	10
U59289_at	52	278	28	113	49	10	16	10	11	44	100	10	61	225	57	12	74	163	77	10	140	212	10	143	69	34	23	24	158	10	10	49	68	86
U59321_at	301	243	10	26	32	567	1553	10	815	628	74	47	163	1475	189	75	1180	498	248	10	111	10	143	214	1764	10	10	20	211	163	92	148	17	72
U59325_at	130	10	622	415	176	10	153	632	10	22	10	10	23	570	146	91	14	461	76	10	1112	10	10	10	152	10	13	10	10	36	10	10	425	10
U60325_at	109	10	55	117	212	83	137	10	10	73	84	127	43	10	10	246	122	69	32	58	91	10	10	16	273	62	86	153	10	10	10	139	131	80
U61836_at	47	10	153	183	217	157	10	14	101	10	18	15	10	10	10	42	103	170	57	76	123	10	120	19	130	47	177	11	10	97	76	151	117	10
U62015_at	19	10	10	150	52	75	179	97	70	18	646	10	12	48	10	62	214	48	25	35	10	185	115	42	10	81	54	19	30	87	36	80	815	15
U62317_rna6_at	10	454	99	119	103	77	126	253	10	150	149	10	12	333	459	31	10	10	161	10	162	470	208	485	10	179	10	110	499	154	10	111	117	166
U62431_at	10	1112	10	10	48	38	10	11	14	72	10	10	10	122	285	10	10	10	21	10	10	771	728	227	10	10	10	10	228	78	48	13	13	50
U62531_at	300	96	10	10	10	10	10	10	10	222	188	10	10	10	100	235	10	10	1470	10	10	10	10	84	866	10	10	10	10	10	10	10	74	896
U63825_at	186	432	75	514	10	54	246	52	256	321	665	335	560	381	142	265	267	139	10	260	10	10	150	32	228	299	10	116	10	147	10	10	310	63
U63842_at	1036	3027	5618	90	2143	164	2465	4188	917	2047	13	874	1431	428	1270	486	1355	3124	211	2220	2391	10	349	800	1777	31	236	63	10	10	10	234	680	10
U65011_at	10	397	19	113	23	220	10	11	10	415	543	824	167	14	343	527	155	421	468	258	21	141	193	58	723	28	331	635	132	10	107	10	119	82
U65092_at	468	591	598	17	588	65	166	481	280	134	17	10	15	432	92	206	66	302	294	235	209	138	203	963	287	195	11	112	25	10	99	133	10	52
U65404_at	52	536	145	146	160	114	37	123	10	36	111	10	24	10	10	18	10	321	44	369	14	315	173	10	144	32	65	10	116	10	213	63	158	153
U66052_at	10	10	153	141	10	86	10	10	110	49	101	369	10	146	10	10	132	135	10	10	143	221	10	146	10	75	138	54	10	10	10	10	35	75
U66578_at	105	203	45	10	148	15	420	112	127	10	10	10	42	136	227	57	11	146	54	106	57	10	308	126	55	56	43	26	109	10	26	37	21	194
U66619_at	468	10	10	368	454	10	10	10	2909	10	311	1377	10	408	10	4191	10	48	5359	10	10	10	1147	2171	5629	136	10	10	10	10	10	10	278	10
U66702_at	10	89	136	16	75	35	71	254	35	122	106	213	10	466	11	36	86	151	57	137	32	10	10	10	98	10	10	10	25	10	186	10	247	93
U66838_at	81	178	34	201	35	10	38	42	10	19	33	10	104	162	127	55	268	149	26	10	70	10	215	10	10	119	23	24	54	106	140	35	32	98
U67611_at	10	10	64	50	33	123	139	321	128	84	10	24	10	343	10	49	10	258	78	10	162	33	10	10	139	10	10	23	10	121	88	97	49	72
U68723_at	72	144	10	971	162	144	543	10	10	11	264	10	40	10	69	16	430	48	10	172	371	207	10	10	41	154	253	80	164	10	10	47	271	66
U70063_at	16	10	150	193	55	86	145	49	67	24	66	31	10	170	10	10	123	279	90	40	313	10	341	42	10	25	34	16	10	50	10	94	111	10
U72515_at	69	1050	190	10	10	10	224	144	10	180	201	10	140	408	359	10	10	284	212	360	341	923	10	1094	33	68	10	12	426	10	36	10	10	283
U73304_rna1_at	24	10	21	108	81	95	95	25	10	10	147	50	10	182	127	10	10	10	10	56	10	10	10	55	10	268	324	96	988	41	40	145	168	482
U73377_at	39	10	99	131	10	10	79	10	70	10	981	99	143	10	10	168	333	10	105	333	10	271	10	22	10	130	175	104	79	30	86	136	159	10
U73843_at	10	1169	10	149	10	72	10	243	10	10	19	10	10	434	15	10	10	386	155	10	179	1139	10	273	200	10	120	10	10	252	10	10	10	10
U74612_at	138	10	10	10	122	14	10	192	95	75	108	45	90	10	10	406	170	10	24	115	10	30	10	55	10	74	53	66	19	130	10	150	62	30
U77968_at	10	10	267	98	234	17	10	10	217	196	166	316	149	10	10	45	304	298	10	93	143	10	17	143	148	10	310	10	10	87	10	12	59	10
U78095_at	64	89	10	475	10	10	172	25	10	10	716	10	131	438	10	10	375	102	10	10	10	10	173	22	10	90	68	64	98	32	10	81	199	251
U78180_at	134	235	151	113	942	10	1060	616	284	391	15	10	10	273	216	10	223	510	10	33	486	10	183	74	90	63	29	199	10	10	10	10	300	281
U78313_at	10	42	33	38	10	10	10	10	52	35	10	10	20	30	235	16	73	10	10	10	10	1042	10	10	10	149	317	78	57	87	107	208	10	10
U79255_at	598	10	961	1007	1096	1037	474	239	223	403	116	10	375	554	4692	462	63	836	10	356	1364	10	3603	10	50	1387	1424	832	3728	924	1532	637	129	72
U79272_at	10	161	99	10	10	141	90	113	44	42	10	124	10	178	324	46	68	39	10	16	207	91	173	218	50	50	105	10	110	10	138	85	79	94
U79273_at	27	10	18	180	168	51	145	10	47	10	126	106	119	40	38	80	219	10	80	52	209	10	12	113	53	60	97	178	54	10	76	112	10	15
U81607_at	59	37	93	308	10	141	15	86	10	10	76	10	10	94	131	10	279	20	10	205	117	121	85	48	101	31	73	129	170	10	10	84	391	161
U81984_at	31	524	10	10	10	10	126	10	653	10	10	10	10	10	359	10	234	330	13	310	491	779	836	276	184	28	128	68	222	161	284	34	96	196
U82535_at	10	10	91	178	171	151	116	10	76	25	46	10	36	263	10	62	132	10	28	91	149	55	10	26	97	112	120	26	10	113	105	101	206	37
U82671_cds2_at	10	387	126	239	158	10	162	10	10	10	71	118	10	118	10	30	83	10	10	60	106	124	311	123	10	98	189	41	10	34	103	80	26	91
U83303_cds2_at	67	10	10	107	126	107	114	133	179	23	209	10	13	142	208	59	100	10	101	10	85	10	80	123	32	10	96	10	80	78	157	93	107	10
U84573_at	26	141	33	38	10	10	13	100	155	46	52	198	55	102	10	13	136	10	10	131	10	813	150	960	80	19	26	38	132	19	38	10	31	23
U85707_at	10	74	10	138	41	38	56	10	20	10	13	10	10	24	1432	10	65	10	26	152	10	10	10	10	63	509	73	123	88	32	123	42	133	121
U86602_at	25	57	69	10	303	10	188	129	10	187	201	119	160	70	10	38	151	10	97	10	36	49	153	97	150	43	16	53	27	10	10	13	129	134
U87223_at	81	10	129	695	97	15	118	27	88	52	237	10	32	319	88	57	128	18	29	217	10	105	52	10	10	309	80	13	38	15	10	103	110	121
U87972_at	200	3554	18	10	10	104	172	408	335	64	141	246	225	269	420	127	10	277	125	10	213	1161	753	420	160	380	10	10	568	337	36	159	133	438
U88667_at	52	161	34	10	124	10	56	10	10	10	119	10	10	14	10	10	55	51	108	156	10	105	499	175	174	10	23	77	10	60	10	86	166	10
U89336_cds4_at	456	1646	507	52	520	261	974	512	23	124	294	363	10	10	339	10	135	181	177	10	286	483	695	208	26	473	832	291	392	10	10	438	10	17
U90336_at	10	10	10	381	10	10	77	105	10	91	823	10	10	1179	27	94	10	10	195	10	10	10	10	10	462	10	10	10	10	41	10	10	152	10
U90902_at	172	308	136	3375	171	79	169	37	25	76	196	75	109	357	281	10	107	417	10	61	249	185	10	48	131	506	448	171	294	10	96	63	285	289
U91985_at	123	139	334	374	26	47	209	10	55	100	242	79	250	10	10	10	128	81	228	368	254	10	10	61	197	128	202	122	27	15	10	10	76	10
U94747_at	260	315	166	76	10	650	256	23	161	47	10	218	123	192	108	269	178	214	10	10	96	10	10	140	14	10	114	244	10	10	10	11	185	10
U96769_rna1_at	20	10	189	327	188	10	10	10	10	16	24	10	10	10	10	41	10	116	231	212	10	954	10	10	62	10	118	40	10	154	155	138	10	189
U96781_cds1_at	23	208	120	59	81	93	145	118	94	10	40	103	60	10	10	16	12	10	153	60	128	160	10	10	10	16	101	17	88	182	57	133	10	162
U96915_at	112	10	240	380	202	120	411	208	254	77	611	10	165	249	38	222	304	65	116	10	177	10	10	117	129	353	184	183	13	104	19	105	253	10
U97018_at	10	317	13	62	92	10	21	10	25	10	168	54	10	78	111	83	29	10	144	86	166	96	419	126	248	54	10	69	84	10	10	47	29	15
V01512_rna1_at	62	340	10	320	68	77	358	61	26	65	2113	75	27	20	10	21	412	51	77	141	926	506	130	48	10	152	68	26	21	193	10	323	1699	10
X00734_at	10	10	100	3233	172	10	45	10	10	10	10	10	10	10	131	10	10	10	85	10	10	10	12	58	10	10	10	66	10	10	10	10	10	10
X02596_at	55	496	339	99	394	10	555	119	206	121	108	10	10	337	10	18	135	86	149	76	209	30	130	208	81	54	10	143	79	17	10	243	229	10
X03168_at	10	760	10	10	10	10	10	10	10	10	10	78	10	10	10	10	10	10	10	10	10	257	760	13	10	10	10	10	279	10	10	10	10	107
X03473_at	44	10	22	32	10	127	45	197	10	10	10	15	280	102	10	39	196	18	10	172	352	66	27	10	74	79	127	85	117	26	176	82	125	23
X03656_rna1_at	170	10	22	10	66	77	98	65	271	61	44	317	124	10	405	103	88	10	10	10	316	10	143	29	212	130	10	174	218	19	10	10	153	132
X04412_at	10	64	10	275	10	84	120	127	218	150	10	31	524	319	10	24	1525	76	10	402	10	276	130	110	193	106	538	10	110	169	10	70	365	181
X04434_at	10	10	10	201	65	90	259	10	46	10	204	10	85	110	10	10	109	27	129	10	23	11	180	10	10	27	129	204	132	10	248	173	10	10
X04741_at	735	10	10	195	402	10	10	10	10	10	450	10	10	798	297	374	80	37	10	10	10	276	190	107	10	1147	880	594	802	54	10	241	1116	621
X04828_at	179	10	10	277	10	10	60	87	428	10	324	10	99	249	10	48	835	10	10	489	106	1487	10	162	10	293	917	10	370	102	10	145	439	10
X05196_at	181	99	1027	6018	283	468	102	712	304	133	197	608	68	894	10	50	842	205	90	235	557	1205	10	260	196	1302	401	138	76	10	234	205	574	85
X06614_at	42	10	141	105	272	151	62	10	10	10	10	643	130	10	77	16	193	72	10	204	10	138	10	478	384	10	275	59	10	143	184	10	10	10
X07109_at	10	10	225	59	205	10	10	192	10	10	10	10	10	870	247	10	10	10	10	10	10	10	10	10	10	182	10	10	508	10	136	10	148	1042
X07173_at	51	10	37	83	78	120	45	100	37	63	10	248	81	54	54	57	85	130	44	12	10	10	10	58	89	40	262	27	10	139	211	542	202	45
X07948_at	84	1140	184	131	185	38	64	165	134	10	10	10	34	110	108	89	127	100	18	117	89	10	70	10	10	32	10	25	242	32	207	95	59	15
X12453_at	54	471	180	76	86	10	16	183	454	10	66	10	47	86	270	64	10	10	25	25	10	10	10	10	355	10	40	19	10	21	10	67	100	10
X12458_rna1_at	236	1286	303	10	10	10	34	10	10	10	45	10	17	10	737	10	10	10	251	262	815	683	961	696	27	325	95	10	738	10	859	10	10	578
X13227_at	83	10	172	900	144	118	72	173	85	11	133	90	10	251	30	158	102	16	49	434	217	30	148	19	158	171	116	58	10	78	294	26	144	10
X13293_at	172	317	46	10	133	56	10	270	217	28	220	79	154	10	10	254	69	10	226	239	10	143	10	10	62	133	10	157	10	10	10	58	10	313
X13334_at	10	10	10	141	10	10	10	10	10	10	351	10	10	10	100	10	46	62	10	10	106	10	55	10	10	10	196	77	10	10	10	647	452	37
X13916_at	15	10	168	119	37	208	140	239	145	45	103	10	72	126	10	70	97	118	10	10	32	625	10	10	36	88	357	111	10	10	10	199	221	61
X14046_at	10	10	286	238	94	10	120	75	43	10	26	10	87	24	10	106	118	149	10	60	358	47	55	10	162	86	82	10	57	71	11	304	172	10
X14789_at	49	10	408	193	248	56	153	278	302	155	73	10	10	10	10	100	166	314	82	127	177	10	77	10	84	84	177	41	10	10	10	227	55	23
X14830_at	10	332	10	90	124	171	10	161	257	50	66	101	137	66	10	24	60	37	66	88	392	10	72	10	86	51	46	10	17	30	124	10	10	169
X15376_at	939	399	303	926	34	104	10	1003	1064	581	24	710	119	1232	401	488	10	559	804	10	749	10	562	413	797	143	14	23	67	10	274	10	524	256
X16396_at	51	10	10	31	25	68	10	22	38	10	130	10	133	10	10	110	341	10	17	83	151	82	50	87	51	239	43	290	160	10	73	88	10	134
X16663_at	43	248	43	222	140	10	179	10	130	65	152	111	10	142	10	169	208	48	18	61	170	10	220	120	63	69	225	22	10	73	53	336	395	10
X17042_at	10	273	10	43	36	10	75	120	49	28	71	10	10	48	127	139	749	58	10	30	177	210	231	91	22	10	91	10	124	95	10	115	579	10
X17094_at	32	10	111	71	10	10	101	175	91	46	134	10	36	211	10	84	14	263	10	32	356	373	145	126	33	10	28	16	135	10	10	36	10	218
X17622_at	138	10	115	102	165	10	42	172	124	73	29	10	28	46	50	31	77	95	139	112	204	190	102	16	137	10	78	42	28	10	42	140	10	10
X17651_at	150	10	312	211	90	10	177	10	142	102	10	63	10	10	158	80	10	163	10	17	256	10	148	10	39	116	10	58	10	124	10	117	10	10
X52008_at	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2332	10	10	10	10	10	10	879	10	888	10	10	10	10	10	10	10	10	10	591
X52142_at	103	10	64	29	214	10	10	261	28	52	55	10	30	20	158	79	153	10	128	46	10	10	213	74	10	110	26	72	42	39	59	94	74	186
X52151_at	52	10	10	10	86	42	186	241	55	16	142	49	107	108	10	106	66	37	10	58	132	138	150	10	125	60	32	56	35	78	98	129	200	10
X52599_at	72	10	153	110	109	189	10	105	173	47	67	172	184	192	10	91	111	191	62	65	119	10	10	94	61	23	68	68	10	47	74	92	134	10
X52943_at	84	178	115	56	104	10	206	10	10	170	25	10	10	10	185	10	93	10	10	61	164	71	10	87	20	133	10	30	56	10	165	143	163	115
X52947_at	38	10	57	536	26	14	11	33	10	50	1815	15	31	10	15	10	233	10	18	121	14	118	233	16	23	115	10	35	23	21	10	26	333	31
X53795_at	192	10	10	86	311	10	73	105	196	227	10	10	10	263	297	10	10	212	30	171	456	10	10	755	10	180	225	10	10	119	305	31	10	1306
X54673_at	10	10	75	855	118	12	61	10	52	23	17	10	55	102	10	10	77	10	10	35	10	47	87	107	27	14	220	10	10	10	10	75	162	10
X54871_at	10	367	100	95	10	40	179	156	181	10	10	10	53	94	274	10	103	32	20	53	10	276	246	42	126	78	43	49	276	23	149	85	44	107
X54942_at	97	59	10	13	58	10	22	136	64	126	558	19	182	10	10	143	285	10	70	53	10	177	57	136	239	145	33	47	114	258	128	139	13	210
X55448_cds2_at	97	243	391	219	267	65	156	212	206	17	40	127	80	10	10	136	170	76	78	87	57	10	336	68	160	70	392	60	10	93	10	85	122	10
X56677_at	56	330	184	204	35	240	98	189	16	69	10	10	10	60	223	23	53	170	73	10	10	10	20	10	88	47	49	39	10	10	138	43	92	53
X58529_at	10	10	67	16	10	1251	10	10	10	10	60	10	10	10	10	10	66	10	10	10	10	10	10	10	10	10	5296	10	106	10	1682	949	10	10
X58964_at	10	2563	10	10	10	10	10	10	10	10	10	10	10	10	679	10	10	10	10	10	10	10	1584	153	10	10	137	10	765	10	10	10	10	211
X59350_at	68	10	214	178	123	150	137	274	212	10	23	10	24	237	10	162	107	316	135	71	10	10	10	10	187	66	140	79	10	10	163	245	145	10
X59373_at	118	519	54	10	97	215	16	10	116	48	24	149	69	277	177	10	168	209	66	10	10	373	268	10	61	10	10	27	95	91	10	89	46	58
X59543_at	35	10	10	35	135	68	31	25	128	36	83	10	39	38	84	124	115	39	36	10	288	60	80	10	169	72	103	99	102	150	10	43	82	10
X59727_at	53	216	232	228	121	10	273	11	10	70	40	27	66	10	10	10	44	125	112	91	115	105	10	172	10	37	138	34	16	10	38	68	114	45
X59766_at	43	10	150	192	55	58	70	250	212	157	36	164	151	377	1521	62	71	263	77	10	183	1526	2051	10	160	22	48	32	1326	47	23	97	149	357
X59798_at	10	10	10	25	10	10	10	10	10	10	2583	10	10	10	10	10	10	10	10	10	10	2168	10	10	10	10	482	10	10	10	10	10	35	10
X59812_at	77	10	295	187	76	275	197	162	329	111	461	37	118	355	123	10	258	398	10	50	546	10	10	299	112	85	274	60	10	208	10	10	602	10
X60486_at	140	10	183	159	420	10	167	633	95	138	90	10	256	10	10	441	372	10	248	123	10	10	155	19	286	228	135	99	64	1377	10	97	259	243
X61373_at	373	168	403	484	357	54	290	450	61	321	92	72	21	500	251	61	139	1006	17	10	1588	74	133	10	202	231	467	29	10	76	63	45	697	10
X62535_at	10	300	72	175	94	10	10	44	10	10	256	10	36	196	274	10	41	16	10	172	87	118	82	10	39	116	54	22	10	184	10	46	121	140
X63187_at	10	630	103	10	87	173	15	155	119	22	52	13	89	72	10	15	32	146	10	10	10	10	102	130	72	41	37	16	10	17	10	10	53	153
X63578_rna1_at	130	10	231	2165	56	28	10	172	71	28	42	74	82	10	490	42	10	27	10	87	337	445	10	172	77	235	10	33	192	119	967	10	40	487
X63755_at	126	10	604	23	405	49	79	295	92	30	10	198	92	351	38	10	10	498	132	335	467	121	266	423	10	78	24	39	65	23	382	179	122	219
X65873_at	70	10	99	290	165	139	236	77	202	68	156	10	148	100	10	21	167	184	236	180	40	10	10	10	48	54	103	204	68	10	10	125	210	10
X66114_rna1_at	70	72	102	107	45	199	135	224	10	108	228	124	90	295	10	205	249	156	140	155	140	88	175	10	154	155	110	101	151	10	10	10	147	10
X66436_at	10	10	108	10	156	10	10	10	74	10	10	10	10	10	173	174	176	121	10	125	602	22	793	42	79	10	10	10	399	76	319	374	10	31
X66945_at	10	10	91	767	10	10	240	398	10	61	1055	10	341	10	61	10	690	298	10	132	732	243	10	175	10	63	136	10	99	326	10	48	387	33
X67683_at	67	109	121	32	10	307	159	10	10	90	10	228	166	10	10	46	59	111	10	112	190	10	10	107	95	25	16	114	10	10	49	34	10	90
X68836_at	69	10	82	168	92	10	163	217	70	58	96	10	114	30	177	10	154	25	34	32	55	10	10	10	15	131	88	60	113	10	36	101	97	80
X70070_at	10	203	10	10	10	10	10	10	10	25	10	10	10	10	1216	10	10	10	10	10	10	10	286	673	10	115	10	10	10	69	10	10	10	10
X71129_at	10	10	96	217	75	123	154	77	140	128	336	10	250	126	239	196	194	167	10	30	91	10	10	175	59	294	229	111	176	84	10	231	209	11
X71490_at	169	81	762	910	378	10	737	617	65	308	388	10	157	474	10	19	320	377	68	425	602	287	10	218	10	216	335	85	10	26	10	84	296	10
X73608_at	22	457	742	2432	327	10	3224	174	146	10	18	10	42	1388	19	133	172	3008	136	65	168	41	102	501	911	174	230	112	10	10	149	38	73	94
X76059_at	10	10	165	70	362	63	54	178	10	10	33	10	22	10	30	47	33	10	151	20	158	77	210	169	40	10	101	13	10	84	176	126	10	50
X76105_at	10	10	109	10	51	10	32	204	10	49	293	10	175	10	10	10	579	10	10	152	247	224	10	10	10	50	93	102	15	10	10	20	10	10
X78031_at	107	10	10	28	174	136	112	92	103	10	52	10	10	10	10	144	79	37	159	97	10	71	90	107	10	76	62	15	60	10	230	179	40	37
X78520_at	26	158	63	140	61	10	199	10	107	50	147	10	87	92	10	12	245	20	14	10	10	55	60	120	16	37	171	97	76	10	10	10	115	71
X78565_at	41	10	10	29	10	10	51	250	73	149	27	91	2831	158	10	23	6254	93	10	3566	10	320	10	42	139	111	117	10	57	10	10	10	54	175
X78992_at	115	10	229	466	10	10	99	460	10	244	3148	10	54	10	10	18	418	27	10	537	10	10	10	10	178	208	381	76	10	10	32	279	948	10
X79067_at	33	10	10	217	10	166	10	10	10	83	158	10	142	10	10	10	219	10	10	481	10	165	10	10	52	24	360	78	10	10	311	522	377	10
X79204_at	10	69	238	281	101	10	99	121	46	10	21	10	70	265	154	10	14	167	61	10	266	282	92	81	13	17	103	40	109	89	10	70	40	93
X79439_at	15	1001	690	214	644	10	365	575	412	49	41	10	10	198	289	49	105	403	347	434	10	943	821	16	10	147	628	10	433	97	234	398	207	914
X79440_at	252	10	183	64	514	10	555	227	38	10	10	10	10	72	289	51	35	67	10	10	243	13	110	126	10	284	10	110	34	10	10	10	10	18
X79510_at	16	1169	102	10	10	109	152	10	38	10	10	219	47	10	629	85	58	139	457	76	49	586	798	638	63	10	135	10	504	158	51	47	10	289
X79781_at	80	67	117	89	120	58	177	244	80	27	10	66	140	182	10	21	147	212	56	70	166	10	10	84	91	108	136	48	38	10	10	191	206	10
X79865_at	299	10	223	141	207	162	302	358	287	324	342	43	379	142	10	452	348	577	149	243	10	38	10	52	349	186	100	139	86	10	10	178	348	10
X80343_at	115	10	498	277	168	26	214	404	10	89	10	10	90	379	335	40	96	111	10	10	121	10	10	10	101	131	292	151	10	10	74	36	153	10
X81438_at	70	64	109	672	379	10	71	357	103	374	49	10	10	661	305	10	10	109	10	10	10	10	107	10	10	158	125	119	176	10	30	197	360	416
X82634_at	19	10	48	80	103	10	122	910	127	96	37	10	64	98	111	66	119	193	16	10	59	10	42	71	10	23	90	41	75	10	94	174	45	11
X82877_at	17	245	154	146	111	10	62	271	80	55	10	193	10	40	10	10	40	74	123	106	10	10	35	113	31	42	77	21	86	10	10	130	15	71
X83378_at	92	166	217	354	297	10	240	139	10	177	106	10	17	124	142	10	130	72	10	161	286	116	276	257	10	119	156	71	134	36	192	115	212	200
